[load] 6943 posts
  [gpt] [25/6943]  rate=0.66/s  eta=10431s
  [gpt] [50/6943]  rate=0.67/s  eta=10364s
  [gpt] [75/6943]  rate=0.71/s  eta=9712s
  [gpt] [100/6943]  rate=0.72/s  eta=9494s
  [gpt] [125/6943]  rate=0.71/s  eta=9536s
  [gpt] [150/6943]  rate=0.73/s  eta=9367s
  [gpt] [175/6943]  rate=0.72/s  eta=9461s
  [gpt] [200/6943]  rate=0.71/s  eta=9551s
  [gpt] [225/6943]  rate=0.70/s  eta=9565s
  [gpt] [250/6943]  rate=0.72/s  eta=9346s
  [gpt] [275/6943]  rate=0.72/s  eta=9219s
  [gpt] [300/6943]  rate=0.73/s  eta=9138s
  [gpt] [325/6943]  rate=0.73/s  eta=9042s
  [gpt] [350/6943]  rate=0.73/s  eta=8985s
  [gpt] [375/6943]  rate=0.72/s  eta=9167s
  [gpt] [400/6943]  rate=0.72/s  eta=9119s
  [gpt] [425/6943]  rate=0.71/s  eta=9154s
  [gpt] [450/6943]  rate=0.71/s  eta=9160s
  [gpt] [475/6943]  rate=0.71/s  eta=9163s
  [gpt] [500/6943]  rate=0.70/s  eta=9143s
  [gpt] [525/6943]  rate=0.70/s  eta=9117s
  [gpt] [550/6943]  rate=0.71/s  eta=9065s
  [gpt] [575/6943]  rate=0.71/s  eta=9008s
  [gpt] [600/6943]  rate=0.71/s  eta=8954s
  [gpt] [625/6943]  rate=0.71/s  eta=8921s
  [gpt] [650/6943]  rate=0.71/s  eta=8869s
  [gpt] [675/6943]  rate=0.71/s  eta=8844s
  [gpt] [700/6943]  rate=0.71/s  eta=8743s
  [gpt] [725/6943]  rate=0.72/s  eta=8686s
  [gpt] [750/6943]  rate=0.72/s  eta=8594s
  [gpt] [775/6943]  rate=0.73/s  eta=8506s
  [gpt] [800/6943]  rate=0.73/s  eta=8438s
  [gpt] [825/6943]  rate=0.73/s  eta=8405s
  [gpt] [850/6943]  rate=0.73/s  eta=8338s
  [gpt] [875/6943]  rate=0.73/s  eta=8316s
  [gpt] [900/6943]  rate=0.73/s  eta=8269s
  [gpt] [925/6943]  rate=0.73/s  eta=8223s
  [gpt] [950/6943]  rate=0.73/s  eta=8235s
  [gpt] [975/6943]  rate=0.72/s  eta=8284s
  [gpt] [1000/6943]  rate=0.72/s  eta=8269s
  [gpt] [1025/6943]  rate=0.72/s  eta=8243s
  [gpt] [1050/6943]  rate=0.72/s  eta=8209s
  [gpt] [1075/6943]  rate=0.71/s  eta=8213s
  [gpt] [1100/6943]  rate=0.71/s  eta=8198s
  [gpt] [1125/6943]  rate=0.71/s  eta=8199s
  [gpt] [1150/6943]  rate=0.71/s  eta=8160s
  [gpt] [1175/6943]  rate=0.71/s  eta=8121s
  [gpt] [1200/6943]  rate=0.71/s  eta=8088s
  [gpt] [1225/6943]  rate=0.71/s  eta=8050s
  [gpt] [1250/6943]  rate=0.71/s  eta=8036s
  [gpt] [1275/6943]  rate=0.70/s  eta=8080s
  [gpt] [1300/6943]  rate=0.70/s  eta=8049s
  [gpt] [1325/6943]  rate=0.70/s  eta=8008s
  [gpt] [1350/6943]  rate=0.70/s  eta=7977s
  [gpt] [1375/6943]  rate=0.70/s  eta=7948s
  [gpt] [1400/6943]  rate=0.70/s  eta=7926s
  [gpt] [1425/6943]  rate=0.70/s  eta=7906s
  [gpt] [1450/6943]  rate=0.70/s  eta=7882s
  [gpt] [1475/6943]  rate=0.70/s  eta=7833s
  [gpt] [1500/6943]  rate=0.70/s  eta=7785s
  [gpt] [1525/6943]  rate=0.70/s  eta=7744s
  [gpt] [1550/6943]  rate=0.70/s  eta=7697s
  [gpt] [1575/6943]  rate=0.70/s  eta=7640s
  [gpt] [1600/6943]  rate=0.70/s  eta=7607s
  [gpt] [1625/6943]  rate=0.70/s  eta=7643s
  [gpt] [1650/6943]  rate=0.69/s  eta=7616s
  [gpt] [1675/6943]  rate=0.69/s  eta=7584s
  [gpt] [1700/6943]  rate=0.69/s  eta=7546s
  [gpt] [1725/6943]  rate=0.70/s  eta=7495s
  [gpt] [1750/6943]  rate=0.70/s  eta=7450s
  [gpt] [1775/6943]  rate=0.70/s  eta=7434s
  [gpt] [1800/6943]  rate=0.70/s  eta=7397s
  [gpt] [1825/6943]  rate=0.70/s  eta=7351s
  [gpt] [1850/6943]  rate=0.70/s  eta=7302s
  [gpt] [1875/6943]  rate=0.70/s  eta=7257s
  [gpt] [1900/6943]  rate=0.70/s  eta=7221s
  [gpt] [1925/6943]  rate=0.70/s  eta=7179s
  [gpt] [1950/6943]  rate=0.70/s  eta=7132s
  [gpt] [1975/6943]  rate=0.70/s  eta=7109s
  [gpt] [2000/6943]  rate=0.70/s  eta=7068s
  [gpt] [2025/6943]  rate=0.70/s  eta=7028s
  [gpt] [2050/6943]  rate=0.70/s  eta=6989s
  [gpt] [2075/6943]  rate=0.70/s  eta=6953s
  [gpt] [2100/6943]  rate=0.70/s  eta=6913s
  [gpt] [2125/6943]  rate=0.70/s  eta=6883s
  [gpt] [2150/6943]  rate=0.70/s  eta=6837s
  [gpt] [2175/6943]  rate=0.70/s  eta=6794s
  [gpt] [2200/6943]  rate=0.70/s  eta=6758s
  [gpt] [2225/6943]  rate=0.70/s  eta=6724s
  [gpt] [2250/6943]  rate=0.70/s  eta=6686s
  [gpt] [2275/6943]  rate=0.70/s  eta=6664s
  [gpt] [2300/6943]  rate=0.70/s  eta=6668s
  [gpt] [2325/6943]  rate=0.69/s  eta=6664s
  [gpt] [2350/6943]  rate=0.69/s  eta=6682s
  [gpt] [2375/6943]  rate=0.68/s  eta=6685s
  [gpt] [2400/6943]  rate=0.68/s  eta=6671s
  [gpt] [2425/6943]  rate=0.68/s  eta=6648s
  [gpt] [2450/6943]  rate=0.68/s  eta=6655s
  [gpt] [2475/6943]  rate=0.67/s  eta=6651s
  [gpt] [2500/6943]  rate=0.67/s  eta=6631s
  [gpt] [2525/6943]  rate=0.67/s  eta=6603s
  [gpt] [2550/6943]  rate=0.67/s  eta=6580s
  [gpt] [2575/6943]  rate=0.67/s  eta=6541s
