Date,Country,Category,Description,Links,,,,,,,,
24-Apr-26,European Union,Crticial minerals,"US-EU critical minerals action plan announced: The US Trade Representative announces an action plan with the European Union for critical minerals that would explore the feasibility of potential policies and trade measures, such as reference prices, price floors, standards-based markets, price gap subsidies, and offtake-agreements.","Ambassador Jamieson Greer Announces United States-European Union Action Plan for Critical Minerals Supply Chain Resilience
",UNITED STATES-EUROPEAN UNION ACTION PLAN  FOR CRITICAL MINERALS SUPPLY CHAIN RESILIENCE ,,,,,,,
,,Deal,,,,,,,,,,
2-Apr-26,European Union,Pharmaceuticals,"Tariffs on pharmaceuticals, more information on deal with UK: The White House issues a proclamation and fact sheet imposing Section 232 tariffs on patented pharmaceuticals and their ingredients, including a 100 percent tariff, with implementation in 120 days for large companies and 180 days for smaller companies. Products from the European Union, Japan, Korea, Switzerland, and Liechtenstein face 15 percent tariffs, while lower rates apply to the United Kingdom under a recent agreement. Companies entering most favored nation pricing and onshoring agreements may receive a 0 percent tariff through January 20, 2029, while those with only onshoring agreements face 20 percent tariffs. Generic pharmaceuticals are excluded, and certain specialty drugs are exempt.",ADJUSTING IMPORTS OF PHARMACEUTICALS AND PHARMACEUTICAL INGREDIENTS INTO THE UNITED STATES ,Fact Sheet: President Donald J. Trump Bolsters National Security and Strengthens U.S. Supply Chains by Imposing Tariffs on Patented Pharmaceutical Products ,Successful Conclusion of the United States–United Kingdom Arrangement on Pharmaceutical Pricing ,,,,,,
,Japan,,,,,,,,,,,
,South Korea,,,,,,,,,,,
,Switzerland,Deal,,,,,,,,,,
,Liechtenstein,,,,,,,,,,,
,United Kingdom,,,,,,,,,,,
2-Apr-26,World,Steel,"Adjustments to tariffs on steel, aluminum, and copper: The White House issues a proclamation and fact sheet establishing new rules for Section 232 metals tariffs. Articles made entirely or almost entirely of aluminum, steel, or copper will pay a flat 50 percent on their full value, while derivative articles will pay 25 percent. Certain industrial and grid equipment will pay 15 percent through 2027, products made entirely with US metals will pay 10 percent, and products with 15 percent or less metal content will no longer be subject to tariffs. See also: Federal Register notice.","STRENGTHENING ACTIONS TAKEN TO ADJUST IMPORTS OF ALUMINUM, STEEL, AND COPPER INTO THE UNITED STATES ","Fact Sheet: President Donald J. Trump Strengthens Tariffs on Steel, Aluminum, and Copper Imports ","Strengthening Actions Taken To Adjust Imports of Aluminum, Steel, and Copper Into the United States ",,,,,,
,,Aluminium ,,,,,,,,,,
,,Copper,,,,,,,,,,
19-Mar-26,Japan,Crticial minerals,US announces critical minerals effort with Japan: The US Trade Representative announces an action plan on critical minerals with Japan. ,Ambassador Jamieson Greer Announces U.S.-Japan Action Plan on Critical Minerals ,UNITED STATES-JAPAN ACTION PLAN  FOR CRITICAL MINERALS SUPPLY CHAIN RESILIENCE ,,,,,,,
,,Deal,,,,,,,,,,
